Question,Cognitive_Category,,,,
Explain the role of people product and process in project management,Understand,,,,
Differentiate and explain size and function oriented metrics,Understand,,,,
Explain the FP based estimation technique.,Understand,,,,
Explain the concept of make buy decision using decision tree analysis.,Apply,,,,
What is software project estimation ? How use cases are used in estimation ?,Apply,,,,
How do you measure software quality in terms of maintainability and integrity ?,Evaluate,,,,
What is a task network in project scheduling ? Explain with an example,Understand,,,,
How risk projection is carried out using risk table ?,Apply,,,,
What is software configuration management ? Explain the change control mechanism in software configuration management,Understand,,,,
Explain earned value analysis in project scheduling,Understand,,,,
What is a software process model? Explain the types of software process models.,Understand,,,,
Explain the key challenges facing software engineering.,Understand,,,,
With a neat block diagram explain the systems engineering process activities.,Understand,,,,
With a neat block diagram explain the spiral process model,Understand,,,,
Define dependability. Also explain briefly the four principle dimensions of dependability.,Understand,,,,
With appropriate block diagram explain briefly the requirement engineering process for software specification activities,Understand,,,,
For the set of tasks shown below draw the project scheduling using i) Activity chart. ii) Gantt / Bar chart. iii) Staff allocation versus time chart. Assuming start date of project as 01 Nov.2014.,Apply,,,,
Draw a state machine model of a simple microwave oven.,Apply,,,,
Draw a sequence diagram for withdrawing money from ATM.,Apply,,,,
Write the IEEE format of writing SRS.,Understand,,,,
Differentiate between: i) User requirements and system requirements. ii) Functional requirements and non-functional requirements.,Understand,,,,
Explain briefly the techniques of requirements discovery.,Understand,,,,
List the system structuring styles and explain the repository model with a block diagram.,Understand,,,,
With a neat block diagram explain the object oriented decomposition for invoice processing sub-system.,Apply,,,,
Explain briefly: i) Call-Return control model. ii) Broadcast control model.,Understand,,,,
With appropriate block diagram explain briefly extreme programming process model.,Understand,,,,
With appropriate block diagram explain the system evolution process.,Understand,,,,
Explain briefly the software inspection process,Understand,,,,
With a neat block diagram explain the verification and validation process (V-model).,Understand,,,,
Perform the path testing for the following program flow graph by computing Cyclomatic complexity,Apply,,,,
Write short notes on: a. Legacy system.   b. COCOMO model.  c. Capability maturity model   d.  Software testing process,Understand,,,,
Define software software engineering software process.,Remember,,,,
What are attributes of good software?,Remember,,,,
Explain two types of emergent properties?,Understand,,,,
Explain System dependability.,Understand,,,,
Explain process iteration.,Understand,,,,
Give Software Requirement Document (IEEE STANDARD).,Remember,,,,
Explain requirement validation.,Understand,,,,
Explain structured methods.,Understand,,,,
Explain risk management.,Understand,,,,
Explain system organization.,Understand,,,,
Give state diagram for weather station and explain design evaluation.,Apply,,,,
Explain extreme programming.,Understand,,,,
Give Lehman's Law.,Remember,,,,
Explain clean room software development.,Understand,,,,
Explain component Testing.,Understand,,,,
Give factors governing staff selection.,Evaluate,,,,
Name factors affecting software engineering productivity and cost estimation techniques.,Remember,,,,
What is software? Explain the essential attributes of a good software.,Understand,,,,
List and explain any five software engineering code of ethics and professional practices.,Understand,,,,
Describe briefly the phases of the system engineering process with a neat diagram.,Understand,,,,
Define critical systems. Explain the four principle dimensions of system dependability.,Understand,,,,
Briefly discuss the reliability terminologies and mention the approaches to system reliability enhancement.,Understand,,,,
What is software process? With a neat diagram explain the software design process activities, in detail.,Understand,,,
What are the different metrics for specifying non-functional requirements? Explain any two of them.,Understand,,,,
 Write the IEEE standard format for requirement document.,Remember,,,,
Give reasons why requirement elicitation and analysis is a difficult phase in requirements engineering process.,Understand,,,,
What are volatile requirements? Briefly discuss the classification of volatile requirements.,Understand,,,,
Draw and explain the sequence diagram for ATM system.,Create,,,,
Mention the weaknesses of structured methods when used to produce system models.,Evaluate,,,,
Explain the risk management process with a neat diagram.,Understand,,,,
Define architectural design. With an example describe the repository model and give its advantages and disadvantages.,Understand,,,,
 Briefly discuss the architectural design decisions.,Understand,,,,
Draw and explain the state diagram for weather station system.,Create,,,,
What is pair programming? Highlight its advantages.,Remember,,,,
Explain with a diagram rapid application development environment.,Understand,,,,
Explain the activities involved in re-engineering process with an illustrative figure.,Understand,,,,
Briefly discuss some of the automated static analysis checks.,Understand,,,,
Explain the five key strategies of clean room software development.,Understand,,,,
What is test automation? Explain with figure the tools that might be included in a testing workbench.,Understand,,,,
Name and explain any five factors governing staff selection.,Understand,,,,
 Briefly discuss the advantages and disadvantages of group cohesiveness that influence group working.,Understand,,,,
Explain in detail algorithmic cost models in project planning.,Understand,,,,
What are the attributes of a good software? Explain. Also list and explain the key challenges facing software engineering.,Understand,,,,
Explain with block diagram the system engineering process.,Understand,,,,
Define the term dependability. List and explain the various dependability properties.,Understand,,,,
What is a software process model? Explain with a block diagram the evolutionary development model.,Understand,,,,
Distinguish between functional and non-functional requirements. With a block diagram explain non-functional requirement types.,Understand,,,,
List at least five stake holders for an automated university examination system. Classify the identified stake holders under different view points.,Analyze,,,,
Write short notes on:    a. Context Models.    b. Objects Models   c. Project Scheduling    d. Risk Management,Understand,,,,
Explain the terms:  a. Architectural design decisions.  b. The repository model.    c. Unified modeling language (UML).   d. Sequence models.,Understand,,,,
List and explain the principles of agile methods. Also explain the problems with agile methods.,Understand,,,,
Define Program Evolution Dynamics. Discuss the Lehman laws for program evolution dynamics.,Understand,,,,
 Explain the various inspection roles and inspection check lists for software inspection process.,Understand,,,,
What is partition testing Identify equivalence class partitions for automated air conditioning system having at least four partitions.List also the boundary values for each class.,Analyze,,,,
Define people capability maturity model (PCMM). With a block diagram explain various  P-CMM levels.,Understand,,,,
List and explain various COCOMO cost estimation models.,Understand,,,,
Explain the types of software process model.,Understand,,,,
What are professional and ethical responsibility of software engineering?,Remember,,,,
Differentiate between technical computer based system and socio—technical system.,Understand,,,,
With a relevant figure bring out different disparities involved in software engineering.,Analyze,,,,
Explain the concept of safety and security in system.,Understand,,,,
Bring out the different factors of system dependability.,Analyze,,,,
Explain the software specification with neat diagram.,Understand,,,,
Briefly list out non—functional requirements of software system.,Remember,,,,
Explain the requirement engineering process with relevant figures.,Understand,,,,
Explain the different system models which can be created during analysis process.,Understand,,,,
Explain the management activities of a software manager.,Understand,,,,
What is need of architectural design decision? List out different that can be developed.,Remember,,,,
Describe the concept of client — server model with a neat diagram.,Understand,,,,
Explain the centralized control model. ,Understand,,,,
Explain the principles of agile methods.,Understand,,,,
Explain the different types of software maintenance,Understand,,,,
Explain the software evolution process.,Understand,,,,
With a neat diagram explain the inspection process.,Understand,,,,
Explain the stages involved in automatic static analysis.,Understand,,,,
Explain the performance testing.,Understand,,,,
Describe the four factors of people management.,Understand,,,,
Explain the Maslow concept of motivating people,Understand,,,,
Describe the cost estimation-techniques with relevant example.,Understand,,,,
What are attributes of good software?,Remember,,,,
Define Software Engineering. Explain different types of software product.,Understand,,,,
Explain emergent system properties with examples.,Understand,,,,
Explain the different types of critical systems.,Understand,,,,
 Explain security terminologies.,Understand,,,,
Describe rational unified process with block diagram.,Understand,,,,
Explain the metrics for specifying non-functional requirements.,Understand,,,,
Explain requirement engineering process.,Understand,,,,
Explain the structure of the requirements document.,Understand,,,,
List and explain different types of system models.,Understand,,,,
What are project management activities? Explain.,Understand,,,,
With an example describe the repository model and give its advantages and disadvantages.,Understand,,,,
Draw and explain state diagram for a typical weather station.,Apply,,,,
Explain the principles of agile methods.,Understand,,,,
 What is pair programming? Explain its advantages.,Remember,,,,
Explain Lehman's laws of program evolution dynamics.,Understand,,,,
Briefly explain the roles in inspection process.,Understand,,,,
Explain clean -room software development.,Understand,,,,
Explain general model of testing with the help of block diagram.,Understand,,,,
Explain any five factors governing staff selection.,Evaluate,,,,
What are the factors that influence group working?,Remember,,,,
Explain cost estimation techniques.,Understand,,,,
Answer the following questions:  I) Difference between software engineering and System Engineering.   ii) What is the software process model ?   Iii) What are key challenges facing software engineering?,Understand,,,,
What are emergent system properties? Give examples. Explain the types of emergent properties.,Understand,,,,
Define legacy system ? Explain the layered model of legacy system.,Understand,,,,
What are the types of critical systems? Define. Write a simple safety critical system and explain.,Create,,,,
Explain the evolutionary development and its properties.,Understand,,,,
Write Boehm's spiral model of the software process and explain.,Create,,,,
List out the notations for requirement with description.,Remember,,,,
Write the roles of the users of a requirement document.,Remember,,,,
What is Ethnography? How ethnography is effective in discovering the types of requirements ?,Evaluate,,,,
Draw the state machine model of a microwave oven.,Create,,,,
What is object aggregation ? Write an example showing aggregation with notation.,Understand,,,,
According to Bas et al what are the advantages of designing and documenting software architecture?,Remember,,,,
Explain event driven systems.,Understand,,,,
What is a sequence model? Write the sequence model of operations in collecting the data from a weather station and explain.,Create,,,,
Explain the difficulties with iterative development and incremental delivery.,Understand,,,,
Briefly discuss the extreme programming release cycle with a neat diagram.,Understand,,,,
How software maintenance is carries out? Explain briefly.,Understand,,,,
Explain V-model with a neat diagram for planning verification and Validation process.,Understand,,,,
Explain the characteristics of clean room software development.,Understand,,,,
Explain any one of the approaches to test case design.,Understand,,,,
Why people capability maturity model is used? Explain P-CMM model.,Understand,,,,
List the factors that influence the effectiveness of communication.,Remember,,,,
Write a note on project duration and staffing.,Understand,,,,
Name the types of metrics used to estimate productivity.,Remember,,,,
Describe FOUR Ps for Project Management and explain any THREE in detail.,Understand,,,,
What does CASE stands for? Explain all the CASE components.,Understand,,,,
Define Software Engineering. Draw and explain Software Engineering layers.,Understand,,,,
Write and explain briefly possible reasons for project failure.,Understand,,,,
Describe two main features of Spiral model and discuss working of Prototyping model with its diagram,Understand,,,,
Discuss umbrella activities and its role in software development life cycle (SDLC).,Understand,,,,
Explain W5HH principle with respect to software project management,Understand,,,,
Draw context diagram and data flow diagram (DFD) for Airlines Reservation System.,Create,,,,
What is Software Reliability? Compare Black Box testing and White Box testing in software product.,Understand,,,,
Prepare an E-R diagram for a Hospital Management System.,Create,,,,
Describe process of requirement engineering in detail.,Understand,,,,
Discuss all generic frame work activities of software engineering with respect to any one process model.,Understand,,,,
What is testing? What is debugging? Draw the spiral diagram showing testing strategies with phases of software development,Apply,,,,
Draw database design model and discuss Architectural design and Interface design.,Apply,,,,
What is User Interface (UI)? Explain the design model for UI.,Understand,,,,
Discuss Incremental process model with its diagram and compare with Waterfall model.,Analyze,,,,
Define Software Quality Assurance (SQA) and explain SQA activities.,Understand,,,,
Explain the difference between software and hardware characteristics.,Understand,,,,
List and explain very briefly various activities of software engineering process framework.,Understand,,,,
Explain the process model which is normally suits for development of large-scale software system.,Analyze,,,,
Develop a complete Use Case System for ATM machine.,Create,,,,
Consider a project to develop a text editor. Major modules of project are: 1. Menu Panel (size 9KB) 2. Text editing window (size 4 KB) 3. Short cut  keys handler (size 6 KB). Use COCOMO to determine the overall cost of the project and duration of development.,Apply,,,,
Explain function point analysis method. Compute the function points for the following data set: Inputs =8 Outputs= 12 Inquiries = 4 Logical files = 41 Interfaces =1 and   Fi = 41.,Analyze,,,,
Using appropriate example Explain control flow model.,Understand,,,,
Define module coupling and cohesion. Explain different types of coupling and cohesion.,Understand,,,,
Explain functional modeling of a system. Draw data flow diagram for an ATM machine.,Create,,,,
What is the difference between software architecture and software design? Explain any two architectural styles of software.,Understand,,,,
Write short note on : Risk Management,Understand,,,,
Explain Version Management and code quality management under changing conditions.,Understand,,,,
Explain Importance of SQA.,Understand,,,,
What is Black box testing? Explain any one technique to carry out black box testing.,Apply,,,,
What are different levels of testing and the goals of each level?,Remember,,,,
Write short note on : Software Prototyping.,Understand,,,,
Write short note on: Integrated CASE Environment.,Understand,,,,
Write short note on: Software Project Management,Understand,,,,
What is Software Engineering ? What is Process ? What is Product?,Remember,,,,
Explain Requirement engineering process.,Understand,,,,
Explain Spiral Process Model and its advantages .,Understand,,,,
Explain Feasibility Study of College Management System.,Analyze,,,,
Explain Feasibility Study of Hospital Management System,Analyze,,,,
Explain Functional and non functional requirement,Understand,,,,
Explain Prototype model and compare it with Water Fall process model .,Analyze,,,,
What is Data design architectural design and procedural Design?,Remember,,,,
Draw E-R Diagram for university result system,Create,,,,
Explain User Interface Design Concepts with example.,Understand,,,,
Explain Different Quality standards.,Understand,,,,
Explain Software Quality Assurance Techniques.,Understand,,,,
What are the steps in software Project Planning? What is effort estimation?,Remember,,,,
Explain Different Testing Techniques.,Understand,,,,
Explain CASE and building blocks of CASE,Understand,,,,
Explain Different Metrics Size Functional and complexity,Understand,,,,
